Trial Alias,Material Number,Material Description,Material type,MRP Controller,MRP Group,MRP Type,Mixed MRP indicator,Material Group,Purchasing Group,Procurement Type,Profit Center,Processing time,Purchase Request Unit,Production Scheduling Profile,Product hierarchy,Material Authorization Group for Activities in QM,Maintenance status,Maintenance status of complete material,Minimum Target Range of Coverage,Issue Storage Location,Net contents,Net weight,Interval Until Next Recurring Inspection,Minimum Lot Size,Minimum Remaining Shelf Life,Minimum Safety Stock,Minimum Shelf Life Required: Location-Dependent,Maximum Stock Level,Maximum Storage Period,Maximum Shelf Life Required: Location-Dependent,Maximum Lot Size,Maximum Allowed Capacity of Packaging Material,Method for Selecting Alternative Bills of Material,Maximum Target Range of Coverage,Maturation Time,Mean inspection duration_deactivated,Load Capacity,Loading Group,Location-Dependent Shelf Life,Lot Sizing Procedure within Materials Planning,Volume,Width,Weight Unit,Version Indicator,Variance Key,Valuated Goods Receipt Blocked Stock.1,Validity date of vendor declaration,Universal Product,Transportation Group,Total shelf life,Total replenishment lead time in workdays,Tied Empties Stock,Throughput Time,Third-Party Order Processing,Temperature conditions indicator,Target Stock,Target Days' Supply in Workdays,Takt time,Synchronization Time Stamp,Synchronization Active,Surcharge factor for cost in percent,Storage percentage,Storage conditions,Storage Condition Flag,Stock Transfer Net Change Costing,Stock in Transit,Stock in transfer_plant to plant,Special procurement type,Shipping setup time,Shipping processing time,Service level,Serialization Valid From,Serialization Type,Sample for quality inspection_in%__deactivated,Safety time_in workdays,Safety stock,Rounding value for purchase order quantity,Retain Fixed Pegging for Product on Document Change,Resource Network,QM in Procurement Is Active,Quantity: Number of GR/GI slips to be printed,Requirement Strategy,Reorder Days' Supply_in Workdays,Reorder Point,Repair Safety Stock,Replenishment Lead Time in Calendar Days,Count of Reportable Item Code - Numerical ID,Required Maximum Shelf Life,PPC Planning Calendar,PPC Heuristics,Plant-Specific Material Status,PP Planning Procedure,ABC Indicator,Additional Instructions,Sum of Alert threshold for early receipts,Sum of Allowed packaging volume,Sum of Allowed packaging weight,ANP Code,Sum of Base quantity,Base Unit of Measure,Batch management Indicator_Internal,Batch Management Requirement Indicator for Plant,Checking Group for Availability Check,Commodity Code,Consumption mode,Sum of Consumption of Storage Capacity per Unit of Material,Consumption period: forward,Control Key for Quality Management in Procurement,Country of Origin of Material_Non-Preferential Origin,Created On,Current period _posting period,Date from which the plant-specific material status is valid,Date of Last Change,Default storage location for external procurement,Determination of batch entry in the production/process order,Division,Documentation required indicator,Sum of Duration of Work,Effective-Out Date,Exemption certificate: Issue date of exemption certificate,Expiration Date,External Representation of Material Number,Sum of Fixed lot size,Flag Material for Deletion at Plant Level,General item category group,Sum of Goods Issue Processing Time in Days,Sum of Goods receipt processing time in days,Sum of Gross contents,Sum of Gross weight
CT-2004-PSX,MAT-60599,Traditional Patch,Ancillary Supply,MRP-113,G3 Pilot,VV,No,MG379,PG54,In-House,PC1789,4,News,These,21.49.10,Daughter,Completed,Active,Morning,Student,Someone,14.34,Feel,LOT-75893896,Concern,Service,Peace,Study,Young,Agreement,LOT-82054650,48.16,Else,Wish,2025-03-09,17,38.98,Group,Again,LOT-99482219,24.06,459447893,33.4,Appear,Above,Senior,V6587272,Quickly,City,Hope,9,Important,2026-04-25,Court,Discuss,Now,6,2026-01-01,2024-08-29,Situation,1086.57,12.52,Part,Yes,15.66,Central,AP03,Need,2026-05-31,2026-05-26,Site,884632705,Memory,First,2,Build,76,Somebody,Tough,Address,73,Use,14,Outside,Enough,9,40,Happy,Control,Oil,Pending,Low,Professor,Threat,Energy,8.83,21.83,QI-4794,225,EA,Series,EU02,Lot,ax-2228,Detail,39.75,Month,Energy,Sri Lanka,2023-11-11,Answer,Completed,2025-10-11,Outside,9CBEBD35-414,Several,Land,25,2024-11-04,2026-01-31,2026-06-11,MAT-15875,LOT-70758392,LAT04,Very,4,9,Agency,31.06
CT-2004-PSX,MAT-32011,Offer Tablet,Comparator,MRP-134,G3 Pilot,VV,Yes,MG747,PG74,External,PC8049,4,Pick,Attorney,43.28.54,Night,Active,Completed,Movement,Need,Past,15.62,Activity,LOT-34198332,Evidence,Almost,Cell,Country,Wonder,Source,LOT-77757177,30.14,Firm,Box,2025-11-29,20,36.38,Ready,Here,LOT-63929636,46.82,576497374,8.82,Join,National,Player,V8286179,For,Half,Student,17,Officer,2024-06-06,American,Fast,Security,23,2025-10-09,2024-01-04,Agreement,667.98,69.57,Tend,No,2813.61,Organization,LAT04,Member,2024-07-31,2024-08-24,Study,410126669,Every,Night,19,Tree,246,Seek,Ball,Thousand,144,Affect,22,Itself,Economy,7,55,That,Window,Partner,Active,Under,Year,Pressure,Across,38.16,14.2,RS-8722,152,EA,Reach,AP03,Dinner,yc-9568,Individual,16.01,Wide,Office,Argentina,2025-06-20,You,Pending,2025-08-25,Build,820B4015-B5D,Buy,Exactly,2,2024-04-24,2024-10-29,2026-09-03,MAT-61362,LOT-30151730,LAT04,Better,8,2,Picture,0.77
CT-2004-PSX,MAT-97442,Common Patch,Comparator,MRP-101,G1 Clinical,VB,No,MG271,PG98,External,PC6940,12,Food,Treatment,80.96.52,If,Pending,Active,Become,Whole,Forget,49.96,Figure,LOT-14354504,Moment,Skill,Along,Country,Especially,History,LOT-71401478,2.17,Imagine,General,2024-09-16,10,36.14,Amount,Agency,LOT-32873081,25.26,620255854,2.86,Stock,Myself,Study,V4644723,Expect,Listen,Blood,1,Wide,2025-12-15,Fly,Cause,Success,19,2025-12-15,2025-09-11,Quite,342.79,92.11,Design,No,4093.06,Speak,AP03,Beat,2026-11-09,2025-09-15,Study,182640330,Which,Life,17,Scientist,213,Without,Since,Major,455,Follow,10,Right,List,29,38,Approach,Police,Sure,Completed,Continue,Difference,Explain,Her,23.14,29.52,gQ-0864,297,EA,Where,AP03,Job,Ty-0549,Store,12.57,Development,Fund,Serbia,2023-12-20,Part,Closed,2025-10-13,Old,A7AEB7DC-2CF,Mission,Picture,3,2026-09-17,2024-05-14,2023-11-24,MAT-16627,LOT-64232123,LAT04,Research,20,9,Politics,35.34
CT-6592-IDY,MAT-49508,Able Patch,Ancillary Supply,MRP-116,G2 Commercial,VB,No,MG777,PG29,In-House,PC7051,5,Discuss,Size,94.15.97,By,Closed,Completed,Ground,Ten,Condition,3.46,Method,LOT-18410275,Particularly,Nice,Describe,Country,Its,Why,LOT-49329322,26.91,Buy,Life,2025-10-29,1,44.66,Serve,Protect,LOT-31271496,38.26,721268106,24.72,Deep,Fill,Trade,V5616528,Theory,Make,Wide,6,Marriage,2023-12-06,Defense,Seem,Then,10,2024-04-23,2026-04-30,Hospital,4436.61,39.1,Idea,No,598.88,Wonder,US01,Court,2024-11-27,2024-03-06,Country,853835158,Indeed,Machine,18,Radio,341,Run,Hit,Exist,446,Claim,13,Remain,Morning,19,219,Control,Fall,Control,Active,Also,Show,Table,Pay,14.13,39.33,ts-8551,316,EA,Toward,LAT04,Prevent,Yi-4551,Staff,40.9,Cold,Threat,Norway,2023-06-07,History,Closed,2025-08-02,Nearly,D1C0BAB1-86B,Type,Central,22,2025-01-25,2025-11-08,2025-07-18,MAT-34899,LOT-86190416,EU02,Middle,1,28,Daughter,37.16
CT-6592-IDY,MAT-17085,Myself Capsule,Investigational Product,MRP-106,G3 Pilot,VB,No,MG563,PG63,Consignment,PC9379,14,No,At,51.65.59,Family,Pending,Active,Pass,Entire,Half,10.72,Popular,LOT-27778437,Hard,Deal,Stage,Country,He,Include,LOT-27607761,32.1,Everything,Follow,2024-07-06,15,25.78,Past,Story,LOT-43759862,47.95,781444080,7.13,Spring,Firm,Allow,V7831443,Recent,Find,Benefit,26,Politics,2023-11-27,Million,Mouth,Benefit,17,2026-05-25,2026-03-04,Night,1112.19,23.32,Improve,No,1485.42,Wear,AP03,Size,2024-12-22,2024-05-24,Study,542542547,Peace,They,27,Film,425,Owner,Push,Share,65,Travel,14,Have,Road,15,55,Son,Himself,Chair,Active,The,Small,City,Truth,24.45,14.28,iS-3666,440,EA,Face,US01,See,do-0826,Value,13.79,Something,No,Dominican Republic,2024-05-29,Recently,Active,2025-08-13,Whole,E2E08976-B06,Enter,Whole,5,2024-07-12,2024-08-07,2026-07-26,MAT-18097,LOT-96443919,US01,Building,5,14,Make,1.64
CT-8970-PLO,MAT-84265,Help Solution,Ancillary Supply,MRP-137,G3 Pilot,VB,No,MG403,PG96,Consignment,PC7641,15,Six,Instead,33.89.20,Among,Pending,Closed,Speech,Several,Example,31.87,Though,LOT-86533765,Black,Happen,Economic,Study,More,School,LOT-48781281,38.38,Rule,Information,2026-01-11,25,9.89,Word,Because,LOT-28144033,35.33,322257395,24.22,War,Fight,American,V4854075,Any,Impact,Hand,17,Too,2024-10-06,Local,Spend,White,27,2025-05-10,2026-05-30,Whatever,3041.33,3.54,Student,Yes,3189.56,Appear,EU02,Effect,2025-07-24,2025-09-10,Site,824952111,Three,Onto,14,Report,108,Keep,Believe,Something,153,Surface,9,Interview,Now,10,452,Environmental,Bit,Big,Closed,Ever,However,Sport,Each,41.39,46.58,Kc-9940,167,EA,Building,AP03,Herself,bX-0617,Case,18.97,Republican,Main,United States Minor Outlying Islands,2023-01-28,Outside,Active,2025-09-22,To,ADA890D8-F3F,Nature,Seem,12,2026-06-07,2025-03-20,2026-02-09,MAT-33689,LOT-44491067,EU02,Help,14,25,Letter,4.51
CT-8970-PLO,MAT-82398,Range Solution,Investigational Product,MRP-137,G2 Commercial,VB,Yes,MG691,PG20,In-House,PC1091,7,Yes,Stand,71.51.42,Brother,Completed,Pending,Situation,Mother,Left,2.52,Remember,LOT-22597604,Up,Various,Subject,Site,Learn,According,LOT-96443919,41.7,Garden,Many,2024-01-12,3,17.43,Seven,We,LOT-82054650,15.55,708711613,18.79,There,True,Treat,V5873320,Billion,Early,Color,16,Wrong,2024-12-25,Throughout,Account,Whose,22,2026-08-14,2024-09-04,No,4744.9,78.25,History,Yes,1803.84,Administration,AP03,Subject,2026-01-06,2024-04-14,Site,581498022,Of,Billion,29,Less,478,Behavior,Case,Prevent,176,Occur,30,Affect,Theory,1,46,Laugh,Might,Computer,Active,Usually,He,Require,Yard,8.91,3.64,Kz-8830,496,EA,Campaign,AP03,War,PY-8796,Coach,49.06,Test,Good,Norway,2024-06-10,Six,Pending,2025-11-05,Course,D9F20807-A58,Through,Kind,21,2024-04-13,2025-03-04,2023-12-08,MAT-54713,LOT-63418468,LAT04,For,18,23,Worry,21.11
CT-8970-PLO,MAT-85304,Artist Solution,Ancillary Supply,MRP-117,G1 Clinical,PD,No,MG526,PG63,External,PC4801,5,Direction,Color,10.54.64,Appear,Active,Active,Including,Blue,Allow,47.44,Lose,LOT-65133728,School,Response,Week,Study,Movement,Often,LOT-70504064,1.45,Onto,Statement,2024-09-19,9,4.91,Little,Born,LOT-85774109,39.73,333979021,1.66,Store,Blue,Phone,V5829175,Eat,Here,They,17,Box,2024-04-24,Read,Several,Maintain,12,2025-04-09,2024-11-29,Realize,3685.91,42.73,Moment,No,4918.75,Including,EU02,Agency,2025-06-22,2024-01-31,Site,121230978,Put,Interview,13,General,430,Suggest,Nature,Financial,214,Price,19,Hotel,Heart,16,245,Month,Best,Yet,Pending,Loss,Nearly,Political,Receive,45.67,46.76,Mr-4786,483,EA,Goal,AP03,See,aT-9741,Watch,33.95,Model,Better,South Africa,2024-11-10,Involve,Completed,2025-06-23,Difficult,93E2AB3B-625,Need,War,22,2024-04-14,2025-05-12,2026-08-12,MAT-40089,LOT-62442527,LAT04,Evening,21,1,Special,43.89
CT-8970-PLO,MAT-86920,Various Solution,Investigational Product,MRP-105,G1 Clinical,VB,Yes,MG177,PG42,Consignment,PC8248,11,Bag,Range,63.73.57,Dog,Closed,Closed,Out,Future,Down,34.5,Industry,LOT-75185716,Run,Act,Type,Site,Law,Memory,LOT-69596629,28.82,Walk,Class,2025-09-12,21,14.85,Onto,Issue,LOT-10817867,42.49,659432072,34.63,Happen,Right,Bill,V6873877,Ask,Edge,Everyone,19,Thus,2025-01-31,Road,Take,Serious,29,2024-12-26,2024-04-16,Last,699.81,8.56,Stop,No,1684.07,Hour,US01,Provide,2024-05-31,2025-07-18,Country,900296978,Wrong,Worry,11,Soon,39,Anything,Technology,Industry,316,Difficult,25,Subject,Traditional,25,84,Citizen,Listen,Else,Active,Arrive,Future,Speak,Happy,27.07,5.21,ny-9446,152,EA,Wrong,EU02,For,SC-1536,Probably,10.58,Crime,Chance,Latvia,2024-07-20,Heart,Completed,2025-10-28,Garden,B83CFAB5-B68,Science,End,12,2026-05-02,2024-12-13,2026-04-07,MAT-16078,LOT-31271496,US01,These,7,10,Avoid,5.48
CT-5806-JWO,MAT-42350,Figure Capsule,Comparator,MRP-130,G2 Commercial,PD,Yes,MG333,PG87,External,PC7862,3,Fine,Magazine,68.26.68,Ten,Closed,Completed,Would,Beyond,Bit,1.88,Record,LOT-26376337,Song,Officer,Record,Country,Throw,Trip,LOT-78676156,29.79,Always,Media,2024-06-22,29,19.78,Energy,Second,LOT-16979238,8.5,887019475,38.93,Station,Feeling,Economic,V9646527,According,A,Reveal,15,Page,2026-06-10,Well,Own,Peace,14,2026-04-17,2024-11-17,Her,1250.52,85.95,Always,No,32.25,True,US01,Everybody,2025-11-08,2026-02-02,Study,266562496,Military,Training,22,Their,361,Beautiful,Feeling,Exist,466,Capital,13,Vote,Woman,21,498,Fact,His,Walk,Active,Food,Baby,Together,Business,29.95,40.66,Qe-2983,247,EA,What,AP03,Since,Vd-0156,Piece,36.71,Student,Act,Trinidad and Tobago,2023-11-18,Blood,Completed,2025-07-26,Spring,657B8A24-549,Including,Deal,7,2025-08-14,2026-06-11,2024-12-30,MAT-79992,LOT-17958339,AP03,Break,19,18,Finish,35.05
